類別,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註,placemark_address
基隆二信港東分社,港通里,基隆市中正區義一路43號,"25.13338, 121.74581",1.0,311,第二分局,,"基隆二信港東分社 港通011 港通里 基隆市中正區義一路43號 311 第二分局"
8樓華廈(天龍講堂),港通里,基隆市中正區義一路212號,"25.13527, 121.74738",0.0,146,第二分局,,"8樓華廈(天龍講堂) 港通013 港通里 基隆市中正區義一路212號 146 第二分局"
葛萊美診所,港通里,基隆市中正區義一路23號,"25.13287, 121.74544",1.0,174,第二分局,,"葛萊美診所 港通014 港通里 基隆市中正區義一路23號 174 第二分局"
中正華廈,港通里,基隆市中正區中正路12號,"25.13194, 121.74352",0.0,152,第二分局,,"中正華廈 港通015 港通里 基隆市中正區中正路12號 152 第二分局"
衛生福利部中央健康保險署基隆聯絡辦公室,港通里,基隆市中正區義一路95號,"25.13501, 121.7469",1.0,134,第二分局,,"衛生福利部中央健康保險署基隆聯絡辦公室 港通016 港通里 基隆市中正區義一路95號 134 第二分局"
漢揚不動產,港通里,基隆市中正區義一路182號,"25.13628, 121.74812",1.0,157,第二分局,,"漢揚不動產 港通017 港通里 基隆市中正區義一路182號 157 第二分局"
王立文婦產科,港通里,基隆市中正區義一路41號,"25.1332, 121.74564",1.0,98,第二分局,,"王立文婦產科 港通018 港通里 基隆市中正區義一路41號 98 第二分局"
白金大樓,港通里,基隆市中正區義一路112號,"25.13578, 121.74602",1.0,202,第二分局,,"白金大樓 港通019 港通里 基隆市中正區義一路112號 202 第二分局"
兆鎮大樓,港通里,基隆市中正區義一路61號,"25.13527, 121.74738",1.0,127,第二分局,,"兆鎮大樓 港通020 港通里 基隆市中正區義一路61號 127 第二分局"
基隆愛犬醫院,港通里,基隆市中正區義一路188號,"25.13527, 121.74738",1.0,183,第二分局,,"基隆愛犬醫院 港通021 港通里 基隆市中正區義一路188號 183 第二分局"
佳美社區,港通里,基隆市中正區信二路274號,"25.12957, 121.75027",2.0,200,第二分局,,"佳美社區 港通022 港通里 基隆市中正區信二路274號 200 第二分局"
羅傑天下,港通里,基隆市中正區義一路87號,"25.13527, 121.74738",2.0,359,第二分局,,"羅傑天下 港通023 港通里 基隆市中正區義一路87號 359 第二分局"
長榮桂冠酒店,港通里,基隆市中正區中正路62號之1,"25.13476, 121.74595",4.0,1216,第二分局,,"長榮桂冠酒店 港通024 港通里 基隆市中正區中正路62號之1 1216 第二分局"
拔群貿易公司,港通里,基隆市中正區義一路59號,"25.13204, 121.74484",1.0,203,第二分局,,"拔群貿易公司 港通025 港通里 基隆市中正區義一路59號 203 第二分局"
曼斯特公司,港通里,基隆市中正區信四路31號,"25.12957, 121.75027",1.0,127,第二分局,,"曼斯特公司 港通026 港通里 基隆市中正區信四路31號 127 第二分局"
麗榮皇冠大樓,港通里,基隆市中正區信一路177號,"25.132, 121.74519",7.0,950,第二分局,,"麗榮皇冠大樓 港通028 港通里 基隆市中正區信一路177號 950 第二分局"
六福晶華,港通里,基隆市中正區義一路130號,"25.13527, 121.74738",5.0,1053,第二分局,,"六福晶華 港通029 港通里 基隆市中正區義一路130號 1053 第二分局"
大宅風華大廈,港通里,基隆市中正區信二路296之1號,"25.13527, 121.74738",1.0,696,第二分局,,"大宅風華大廈 港通031 港通里 基隆市中正區信二路296之1號 696 第二分局"
橙品71,港通里,基隆市中正區義一路71號,"25.13578, 121.74602",2.0,270,第二分局,,"橙品71 港通032 港通里 基隆市中正區義一路71號 270 第二分局"
幸福佳園,港通里,基隆市中正區信三路28巷4之3號,"25.13425, 121.74638",1.0,217,第二分局,,"幸福佳園 港通033 港通里 基隆市中正區信三路28巷4之3號 217 第二分局"
龍冠天下社區,新富里,基隆市中正區新豐街303巷11弄21號,"25.13436, 121.78856",1.0,2242,第二分局,,"龍冠天下社區 新富001 新富里 基隆市中正區新豐街303巷11弄21號 2242 第二分局"
海中天社區,新富里,基隆市中正區新豐街343之1號,"25.13557, 121.78675",2.0,2382,第二分局,,"海中天社區 新富002 新富里 基隆市中正區新豐街343之1號 2382 第二分局"
岩大安邸,新富里,基隆市中正區新豐街161巷98號,"25.13928, 121.78987",1.0,630,第二分局,,"岩大安邸 新富003 新富里 基隆市中正區新豐街161巷98號 630 第二分局"
基督教會,新富里,基隆市中正區新豐街205巷9號,"25.13753, 121.78887",1.0,232,第二分局,,"基督教會 新富004 新富里 基隆市中正區新豐街205巷9號 232 第二分局"
岩大安邸,新富里,基隆市中正區新豐街161巷53號,"25.13928, 121.78987",1.0,409,第二分局,,"岩大安邸 新富005 新富里 基隆市中正區新豐街161巷53號 409 第二分局"
華廈,新豐里,基隆市中正區新豐街106號,"25.13898, 121.78881",1.0,270,第二分局,,"華廈 新豐001 新豐里 基隆市中正區新豐街106號 270 第二分局"
海中天社區,新豐里,基隆市中正區新豐街333巷8號,"25.13465, 121.78479",2.0,2332,第二分局,,"海中天社區 新豐002 新豐里 基隆市中正區新豐街333巷8號 2332 第二分局"
海中天社區,新豐里,基隆市中正區新豐街333巷30號,"25.13465, 121.78479",2.0,1745,第二分局,,"海中天社區 新豐003 新豐里 基隆市中正區新豐街333巷30號 1745 第二分局"
海洋大學世界社區,新豐里,基隆市中正區新豐街344號,"25.13594, 121.78689",2.0,6643,第二分局,,"海洋大學世界社區 新豐004 新豐里 基隆市中正區新豐街344號 6643 第二分局"
天下一家,新豐里,基隆市中正區新豐街136號,"25.13787, 121.78891",1.0,347,第二分局,,"天下一家 新豐005 新豐里 基隆市中正區新豐街136號 347 第二分局"
碧海擎天社區,新豐里,基隆市中正區新豐街290號,"25.13596, 121.78727",4.0,7292,第二分局,,"碧海擎天社區 新豐006 新豐里 基隆市中正區新豐街290號 7292 第二分局"
巴塞隆納社區,新豐里,基隆市中正區新豐街466號,"25.13556, 121.78537",2.0,18182,第二分局,,"巴塞隆納社區 新豐007 新豐里 基隆市中正區新豐街466號 18182 第二分局"
普羅旺世社區,新豐里,基隆市中正區新豐街162巷3號,"25.13808, 121.7857",1.0,674,第二分局,,"普羅旺世社區 新豐008 新豐里 基隆市中正區新豐街162巷3號 674 第二分局"
普羅旺世社區,新豐里,基隆市中正區新豐街162巷31號,"25.13808, 121.7857",2.0,300,第二分局,,"普羅旺世社區 新豐009 新豐里 基隆市中正區新豐街162巷31號 300 第二分局"
普羅旺世社區,新豐里,基隆市中正區新豐街162巷13號,"25.13808, 121.7857",3.0,1143,第二分局,,"普羅旺世社區 新豐010 新豐里 基隆市中正區新豐街162巷13號 1143 第二分局"
普羅旺世社區,新豐里,基隆市中正區新豐街162巷65號,"25.13808, 121.7857",2.0,1175,第二分局,,"普羅旺世社區 新豐011 新豐里 基隆市中正區新豐街162巷65號 1175 第二分局"
普羅旺世社區,新豐里,基隆市中正區新豐街162巷73號,"25.13808, 121.7857",2.0,1190,第二分局,,"普羅旺世社區 新豐012 新豐里 基隆市中正區新豐街162巷73號 1190 第二分局"
普羅旺世社區,新豐里,基隆市中正區新豐街162巷125號,"25.13979, 121.78392",3.0,2559,第二分局,,"普羅旺世社區 新豐013 新豐里 基隆市中正區新豐街162巷125號 2559 第二分局"
普羅旺世社區,新豐里,基隆市中正區新豐街162巷2至166號,"25.13808, 121.7857",4.0,4648,第二分局,,"普羅旺世社區 新豐014 新豐里 基隆市中正區新豐街162巷2至166號 4648 第二分局"
大樓,義民里,基隆市信義區信二路48號,"25.12922, 121.75652",1.0,274,第二分局,,"大樓 義民001 義民里 基隆市信義區信二路48號 274 第二分局"
兆鎮經典,義民里,基隆市信義區信二路63號,"25.12902, 121.7556",1.0,224,第二分局,,"兆鎮經典 義民002 義民里 基隆市信義區信二路63號 224 第二分局"
中興國小,義民里,基隆市信義區信二路58號,"25.12917, 121.75613",1.0,187,第二分局,,"中興國小 義民003 義民里 基隆市信義區信二路58號 187 第二分局"
華廈,義民里,基隆市信義區信二路82號,"25.12921, 121.75572",1.0,74,第二分局,,"華廈 義民004 義民里 基隆市信義區信二路82號 74 第二分局"
華廈,義和里,基隆市信義區信二路24號,"25.12913, 121.75781",1.0,208,第二分局,,"華廈 義和001 義和里 基隆市信義區信二路24號 208 第二分局"
華廈,義和里,基隆市信義區信二路28號,"25.12908, 121.75728",1.0,140,第二分局,,"華廈 義和002 義和里 基隆市信義區信二路28號 140 第二分局"
市立體育館,義和里,基隆市信義區信二路40號,"25.13006, 121.75726",1.0,846,第二分局,,"市立體育館 義和003 義和里 基隆市信義區信二路40號 846 第二分局"
信義遠見,義和里,基隆市信義區信二路36巷49號,"25.13036, 121.7574",1.0,90,第二分局,,"信義遠見 義和004 義和里 基隆市信義區信二路36巷49號 90 第二分局"
基隆女中,義和里,基隆市信義區東信路324號,"25.12864, 121.75919",1.0,256,第二分局,,"基隆女中 義和005 義和里 基隆市信義區東信路324號 256 第二分局"
基隆女中,義和里,基隆市信義區東信路324號,"25.12864, 121.75919",1.0,1097,第二分局,,"基隆女中 義和006 義和里 基隆市信義區東信路324號 1097 第二分局"
正信遠見大廈,義和里,基隆市信義區正信路151巷7之7號,"25.13057, 121.75802",1.0,80,第二分局,,"正信遠見大廈 義和007 義和里 基隆市信義區正信路151巷7之7號 80 第二分局"
中興國民小學,義和里,基隆市信義區信二路40號,"25.13006, 121.75726",1.0,3331,第二分局,,"中興國民小學 義和008 義和里 基隆市信義區信二路40號 3331 第二分局"
私立崇右影視科技大學,義幸里,基隆市信義區義七路40號,"25.13166, 121.75386",1.0,823,第二分局,,"私立崇右影視科技大學 義幸001 義幸里 基隆市信義區義七路40號 823 第二分局"
寺廟,義幸里,基隆市信義區義七路42號,"25.13083, 121.7537",1.0,458,第二分局,,"寺廟 義幸002 義幸里 基隆市信義區義七路42號 458 第二分局"
私立崇右影視科技大學,義幸里,基隆市信義區義七路40號,"25.13166, 121.75386",1.0,630,第二分局,,"私立崇右影視科技大學 義幸004 義幸里 基隆市信義區義七路40號 630 第二分局"
華廈,義幸里,基隆市信義區信二路135號,"25.12926, 121.75375",1.0,378,第二分局,,"華廈 義幸005 義幸里 基隆市信義區信二路135號 378 第二分局"
和園,義幸里,基隆市信義區中興路66號,"25.12983, 121.75469",1.0,419,第二分局,,"和園 義幸006 義幸里 基隆市信義區中興路66號 419 第二分局"
華廈,義幸里,基隆市信義區信二路93號,"25.12914, 121.75501",1.0,206,第二分局,,"華廈 義幸007 義幸里 基隆市信義區信二路93號 206 第二分局"
私立崇右影視科技大學,義幸里,基隆市信義區義七路40號1樓,"25.13166, 121.75386",3.0,2781,第二分局,,"私立崇右影視科技大學 義幸008 義幸里 基隆市信義區義七路40號1樓 2781 第二分局"
一品樓,義幸里,基隆市信義區中興路18巷3號,"25.12894, 121.75464",1.0,160,第二分局,,"一品樓 義幸009 義幸里 基隆市信義區中興路18巷3號 160 第二分局"
交響悅,義幸里,基隆市信義區信二路162號,"25.12942, 121.75412",2.0,285,第二分局,,"交響悅 義幸010 義幸里 基隆市信義區信二路162號 285 第二分局"
富寓,義幸里,基隆市信義區中興路22號,"25.12899, 121.75461",1.0,175,第二分局,,"富寓 義幸011 義幸里 基隆市信義區中興路22號 175 第二分局"
信義名邸,義幸里,基隆市信義區信二路174巷128號,"25.13115, 121.75455",1.0,312,第二分局,,"信義名邸 義幸012 義幸里 基隆市信義區信二路174巷128號 312 第二分局"
璽悅社區,義昭里,基隆市信義區信一路63號,"25.12855, 121.75255",1.0,138,第二分局,,"璽悅社區 義昭003 義昭里 基隆市信義區信一路63號 138 第二分局"
華廈,義昭里,基隆市信義區信二路234巷6號,"25.13012, 121.75187",1.0,816,第二分局,,"華廈 義昭004 義昭里 基隆市信義區信二路234巷6號 816 第二分局"
華廈,義昭里,基隆市信義區義七路7號,"25.12897, 121.75261",1.0,228,第二分局,,"華廈 義昭005 義昭里 基隆市信義區義七路7號 228 第二分局"
交響樂2期,義昭里,基隆市信義區信二路234巷2之5號,"25.12997, 121.7518",2.0,295,第二分局,,"交響樂2期 義昭006 義昭里 基隆市信義區信二路234巷2之5號 295 第二分局"
信義區公所,義昭里,基隆市信義區信二路179號,"25.12938, 121.75129",1.0,513,第二分局,,"信義區公所 義昭007 義昭里 基隆市信義區信二路179號 513 第二分局"
信義君悅,義昭里,基隆市信義區信二路236之10號,"25.1297, 121.75135",2.0,2560,第二分局,,"信義君悅 義昭008 義昭里 基隆市信義區信二路236之10號 2560 第二分局"
柏悅府,義昭里,基隆市信義區義六路28號,"25.13064, 121.75161",3.0,2337,第二分局,,"柏悅府 義昭009 義昭里 基隆市信義區義六路28號 2337 第二分局"
璽悅社區,義昭里,基隆市信義區信一路63號,"25.12855, 121.75255",3.0,1091,第二分局,,"璽悅社區 義昭010 義昭里 基隆市信義區信一路63號 1091 第二分局"
都會貴族,義重里,基隆市中正區信六路16號,"25.13449, 121.74982",1.0,164,第二分局,,"都會貴族 義重001 義重里 基隆市中正區信六路16號 164 第二分局"
昌釜建設,義重里,基隆市中正區義二路227號,"25.13599, 121.74854",1.0,132,第二分局,,"昌釜建設 義重002 義重里 基隆市中正區義二路227號 132 第二分局"
欣光印刷事業股份公司,義重里,基隆市中正區義二路266號,"25.13665, 121.74953",1.0,114,第二分局,,"欣光印刷事業股份公司 義重003 義重里 基隆市中正區義二路266號 114 第二分局"
碧砂里里民活動中心,碧砂里,基隆市中正區環港街84號,"25.14105, 121.79263",1.0,313,第二分局,,"碧砂里里民活動中心 碧砂004 碧砂里 基隆市中正區環港街84號 313 第二分局"
基隆市八斗子漁會,碧砂里,基隆市中正區環港街5號,"25.14183, 121.79231",1.0,1541,第二分局,,"基隆市八斗子漁會 碧砂005 碧砂里 基隆市中正區環港街5號 1541 第二分局"
海大幼兒園,碧砂里,基隆市中正區新豐街251巷9弄1號,"25.13473, 121.78883",1.0,851,第二分局,,"海大幼兒園 碧砂006 碧砂里 基隆市中正區新豐街251巷9弄1號 851 第二分局"
華廈,碧砂里,基隆市中正區北寧路284號,"25.14192, 121.79015",1.0,486,第二分局,,"華廈 碧砂007 碧砂里 基隆市中正區北寧路284號 486 第二分局"
蔚藍海景旅店,碧砂里,基隆市中正區北寧路250之6號,"25.14594, 121.78355",1.0,121,第二分局,,"蔚藍海景旅店 碧砂010 碧砂里 基隆市中正區北寧路250之6號 121 第二分局"
鴻聖雙璽,碧砂里,基隆市中正區北寧路308號,"25.14162, 121.79091",2.0,301,第二分局,,"鴻聖雙璽 碧砂011 碧砂里 基隆市中正區北寧路308號 301 第二分局"
海洋科技博物館,長潭里,基隆市中正區北寧路367號,"25.14013, 121.79925",2.0,10093,第二分局,
信四華廈,德義里,基隆市中正區信四路11號,"25.1333, 121.74645",1.0,226,第二分局,,"信四華廈 德義001 德義里 基隆市中正區信四路11號 226 第二分局"
基隆市進出口商業同業公會,德義里,基隆市中正區信三路8號,"25.13256, 121.74586",1.0,130,第二分局,,"基隆市進出口商業同業公會 德義003 德義里 基隆市中正區信三路8號 130 第二分局"
信二路停車場,德義里,基隆市中正區信二路299號,"25.13085, 121.74624",1.0,1516,第二分局,,"信二路停車場 德義004 德義里 基隆市中正區信二路299號 1516 第二分局"
永泰興報關公司,德義里,基隆市中正區義二路72號,"25.13196, 121.74625",2.0,419,第二分局,,"永泰興報關公司 德義005 德義里 基隆市中正區義二路72號 419 第二分局"
義二首席,德義里,基隆市中正區義二路106號,"25.13257, 121.74658",1.0,116,第二分局,,"義二首席 德義006 德義里 基隆市中正區義二路106號 116 第二分局"
海宴炭火燒肉,德義里,基隆市中正區義二路2巷10號,"25.13055, 121.74578",1.0,214,第二分局,,"海宴炭火燒肉 德義007 德義里 基隆市中正區義二路2巷10號 214 第二分局"
怡園(宿舍),禮東里,基隆市信義區東明路77巷7弄1號,"25.12688, 121.762",1.0,903,第二分局,,"怡園(宿舍) 禮東001 禮東里 基隆市信義區東明路77巷7弄1號 903 第二分局"
7樓電梯,禮東里,基隆市信義區東明路69號,"25.12758, 121.76233",1.0,1024,第二分局,,"7樓電梯 禮東002 禮東里 基隆市信義區東明路69號 1024 第二分局"
馥桂園,禮東里,基隆市信義區東明路77巷7弄14號,"25.12648, 121.76306",2.0,539,第二分局,,"馥桂園 禮東003 禮東里 基隆市信義區東明路77巷7弄14號 539 第二分局"
恩典延吉,禮東里,基隆市信義區東明路39巷33號,"25.12648, 121.76306",1.0,236,第二分局,,"恩典延吉 禮東004 禮東里 基隆市信義區東明路39巷33號 236 第二分局"
7樓電梯,禮儀里,基隆市信義區東明路97號,"25.12758, 121.76149",2.0,313,第二分局,,"7樓電梯 禮儀002 禮儀里 基隆市信義區東明路97號 313 第二分局"
9樓電梯,禮儀里,基隆市信義區東明路171號,"25.12774, 121.75981",1.0,113,第二分局,,"9樓電梯 禮儀001 禮儀里 基隆市信義區東明路171號 113 第二分局"
信義城堡,禮儀里,基隆市信義區東明路108號,"25.12787, 121.7603",2.0,176,第二分局,,"信義城堡 禮儀003 禮儀里 基隆市信義區東明路108號 176 第二分局"
3樓公寓,禮儀里,基隆市信義區東明路177號,"25.12751, 121.75934",3.0,370,第二分局,,"3樓公寓 禮儀005 禮儀里 基隆市信義區東明路177號 370 第二分局"
華廈,碧砂里,基隆市中正區北寧路296號,"25.14563, 121.78601",1.0,422,第二分局,,"華廈 碧砂008 碧砂里 基隆市中正區北寧路296號 422 第二分局"
田園調布,孝德里,基隆市信義區福民街60號,"25.13194, 121.77581",2.0,1672,第二分局,,"田園調布 孝德011 孝德里 基隆市信義區福民街60號 1672 第二分局"
澄品32,港通里,基隆市中正路信五路32號,"25.1348, 121.74645",1.0,267,第二分局,,"澄品32 港通034 港通里 基隆市中正路信五路32號 267 第二分局"
港都明珠,入船里,基隆市中正路164號,"25.13912, 121.75271",4.0,1095,第二分局,,"港都明珠 入船003 入船里 基隆市中正路164號 1095 第二分局"
海豔,新豐里,基隆市中正區新豐街86號,"25.1399, 121.78925",3.0,5826,第二分局,,"海豔 新豐015 新豐里 基隆市中正區新豐街86號 5826 第二分局"
