編號,村里別,地址,建築物名稱,類別,地下樓層數,可容納人數,電腦編號,緯經度,備註,placemark_address
1.0,東路里,彰化縣田中鎮東路里員集路2段456號,田中零售市場,地下室,1.0,600.0,JTA028,23.860468484542235，120.58512642556333,,彰化縣田中鎮東路里員集路2段456號
2.0,東路里,彰化縣田中鎮東路里南北街80號,田中鎮農會,地下室,1.0,160.0,JTA116,23.85958110402508，120.5864997832342,,彰化縣田中鎮東路里南北街80號
3.0,東路里,彰化縣田中鎮東路里復興路797巷68號,啟阜大廈,地下室,1.0,160.0,JTA137,23.86066985068382，120.58684741206959,,彰化縣田中鎮東路里復興路797巷68號
4.0,中路里,彰化縣田中鎮中路里福安路6號,帥帝賓館,地下室,1.0,80.0,JTA081,23.859569508434994，120.59009182556318,,彰化縣田中鎮中路里福安路6號
5.0,中路里,彰化縣田中鎮中路里福安路48號,庭園賓館,地下室,1.0,56.0,JTA107,23.859590780116754，120.59002816789238,,彰化縣田中鎮中路里福安路48號
6.0,中路里,彰化縣田中鎮中路里興工路553號,龍門大飯店,地下室,1.0,333.0,JTA088,23.85726119666441，120.59085476789244,,彰化縣田中鎮中路里興工路553號
7.0,中路里,彰化縣田中鎮中路里中州路1段194號,民宅,地下室,1.0,44.0,JTA102,23.858154117166947，120.58667425439866,,彰化縣田中鎮中路里中州路1段194號
8.0,中路里,彰化縣田中鎮中路里中新路229號,田中鎮立圖書館,地下室,1.0,60.0,JTA035,23.856603233230373，120.5886218967278,,彰化縣田中鎮中路里中新路229號
9.0,中路里,彰化縣田中鎮中路里興工路557號,民宅,地下室,1.0,80.0,JTA085,23.857388381452324，120.5908081543987,,彰化縣田中鎮中路里興工路557號
10.0,南路里,彰化縣田中鎮南路里員集路1段788號,泰山食品公司,地下室,1.0,80.0,JTA009,23.85010128587044，120.59137755439855,,彰化縣田中鎮南路里員集路1段788號
11.0,南路里,彰化縣田中鎮南路里興工路6號,泰山企業公司1,地下室,1.0,80.0,JTA010,23.84837375092281，120.5928048832339,,彰化縣田中鎮南路里興工路6號
12.0,南路里,彰化縣田中鎮南路里興工路6號,泰山企業公司2,地下室,1.0,88.0,JTA011,23.84837375092281，120.5928048832339,,彰化縣田中鎮南路里興工路6號
13.0,南路里,彰化縣田中鎮南路里興工路6號,泰山企業公司3,地下室,1.0,375.0,JTA041,23.84837375092281，120.5928048832339,,彰化縣田中鎮南路里興工路6號
14.0,南路里,彰化縣田中鎮南路里中南路3段405號,縣農會碾米廠,地下室,1.0,53.0,JTA013,23.853198596426967，120.59162546789233,,彰化縣田中鎮南路里中南路3段405號
15.0,南路里,彰化縣田中鎮南路里中南路3段405號,縣農會田中倉庫,地下室,1.0,60.0,JTA027,23.853198596426967，120.59162546789233,,彰化縣田中鎮南路里中南路3段405號
16.0,南路里,彰化縣田中鎮南路里中南路3段512號,建元醫院,地下室,1.0,333.0,JTA125,23.85343473351931，120.58938688138596,,彰化縣田中鎮南路里中南路3段512號
17.0,北路里,彰化縣田中鎮北路里中山街237巷46號,民宅,地下室,1.0,44.0,JTA103,23.858542801080546，120.59290695439879,,彰化縣田中鎮北路里中山街237巷46號
18.0,北路里,彰化縣田中鎮北路里福安路156號,民宅,地下室,1.0,80.0,JTA110,23.861959008199385，120.58908431206966,,彰化縣田中鎮北路里福安路156號
19.0,北路里,彰化縣田中鎮北路里新生街150巷20弄16號,大福地大廈,地下室,1.0,939.0,JTA120,23.862501743166977，120.58663089672787,,彰化縣田中鎮北路里新生街150巷20弄16號
20.0,北路里,彰化縣田中鎮北路里新生街112巷15號,名人市大廈,地下室,1.0,824.0,JTA128,23.862029102169643，120.5872459543988,,彰化縣田中鎮北路里新生街112巷15號
21.0,北路里,彰化縣田中鎮北路里員集路2段706巷26號,民宅,地下室,1.0,380.0,JTA132,23.865491734060722，120.58626945439887,,彰化縣田中鎮北路里員集路2段706巷26號
22.0,北路里,彰化縣田中鎮北路里福安路250號,新光人壽,地下室,1.0,200.0,JTA136,23.86306020138807，120.58860121022164,,彰化縣田中鎮北路里福安路250號
23.0,沙崙里,彰化縣田中鎮沙崙里新工二路80號,鴻旺公司1廠,地下室,1.0,86.0,JTA095,23.84767615160974，120.57305086789222,,彰化縣田中鎮沙崙里新工二路80號
24.0,沙崙里,彰化縣田中鎮沙崙里中州路2段751號,華新橡膠公司,地下室,1.0,220.0,JTA040,23.847390051891505，120.56949701022137,,彰化縣田中鎮沙崙里中州路2段751號
25.0,沙崙里,彰化縣田中鎮沙崙里中州路2段555號,兆陽興業公司,地下室,1.0,200.0,JTA043,23.850577123482385，120.57220236789226,,彰化縣田中鎮沙崙里中州路2段555號
26.0,沙崙里,彰化縣田中鎮沙崙里新工四路10號,倍利二廠,地下室,1.0,100.0,JTA045,23.847740200149303，120.57346793905683,,彰化縣田中鎮沙崙里新工四路10號
27.0,沙崙里,彰化縣田中鎮沙崙里新工一路16號,愛康製藥公司,地下室,1.0,22.0,JTA046,23.85019264783412，120.5739094813859,,彰化縣田中鎮沙崙里新工一路16號
28.0,沙崙里,彰化縣田中鎮沙崙里新工二路25號,冠僑公司(原:倍利製革公司),地下室,1.0,200.0,JTA047,23.849510448092715，120.5734831832339,,彰化縣田中鎮沙崙里新工二路25號
29.0,沙崙里,彰化縣田中鎮沙崙里新工三路95號,大新工業區管理處,地下室,1.0,200.0,JTA048,23.848706963372727，120.57176656789223,,彰化縣田中鎮沙崙里新工三路95號
30.0,沙崙里,彰化縣田中鎮沙崙里中州路2段517號,東星製線公司,地下室,1.0,93.0,JTA049,23.850894510607738，120.57263025439859,,彰化縣田中鎮沙崙里中州路2段517號
31.0,沙崙里,彰化縣田中鎮沙崙里興酪路一段140號,黃澤豐製藥,地下室,1.0,96.0,JTA050,23.850763985468767，120.57407242556312,,彰化縣田中鎮沙崙里興酪路一段140號
32.0,沙崙里,彰化縣田中鎮沙崙里中州路2段557號,泰賓實業公司,地下室,1.0,181.0,JTA051,23.850568710854585，120.57212209672771,,彰化縣田中鎮沙崙里中州路2段557號
33.0,沙崙里,彰化縣田中鎮沙崙里新工三路113號,邁克威公司(原:村明企業),地下室,1.0,124.0,JTA052,23.847635610248197，120.57055183905673,,彰化縣田中鎮沙崙里新工三路113號
34.0,沙崙里,彰化縣田中鎮沙崙里酪農路216號,宣德實業公司,地下室,1.0,40.0,JTA053,23.845816627449228，120.57036173905675,,彰化縣田中鎮沙崙里酪農路216號
35.0,沙崙里,彰化縣田中鎮沙崙里新工三路120號,大成毛刷公司(原:維鴻橡膠公司),地下室,1.0,80.0,JTA054,23.84786472848589，120.5702739102214,,彰化縣田中鎮沙崙里新工三路120號
36.0,沙崙里,彰化縣田中鎮沙崙里新工三路160號,奕發興業公司(原:川盛製材公司),地下室,1.0,173.0,JTA055,23.847711187319288，120.57033543905668,,彰化縣田中鎮沙崙里新工三路160號
37.0,沙崙里,彰化縣田中鎮沙崙里新工三路140號,巧良實業公司,地下室,1.0,100.0,JTA056,23.84779413864721，120.57028283905679,,彰化縣田中鎮沙崙里新工三路140號
38.0,沙崙里,彰化縣田中鎮沙崙里新工三路83號,天恩粉圓(原:和利斯特企業),地下室,1.0,22.0,JTA058,23.849095162961092，120.57173201022125,,彰化縣田中鎮沙崙里新工三路83號
39.0,沙崙里,彰化縣田中鎮沙崙里中州路2段429號,幸福釣具(原:加昌紙器公司),地下室,1.0,40.0,JTA060,23.852460671950826，120.5740216409049,,彰化縣田中鎮沙崙里中州路2段429號
40.0,沙崙里,彰化縣田中鎮沙崙里興酪路1段260號,正順紡織公司,地下室,1.0,133.0,JTA061,23.84860180184667，120.57405648323385,,彰化縣田中鎮沙崙里興酪路1段260號
41.0,沙崙里,彰化縣田中鎮沙崙里興酪路1段96號,廣吉公司,地下室,1.0,33.0,JTA062,23.848582176293295，120.57401356789205,,彰化縣田中鎮沙崙里興酪路1段96號
42.0,沙崙里,彰化縣田中鎮沙崙里新工二路145號,達昱公司,地下室,1.0,33.0,JTA063,23.846433513987353，120.57301823905674,,彰化縣田中鎮沙崙里新工二路145號
43.0,沙崙里,彰化縣田中鎮沙崙里新工六路77號,長星纖維公司,地下室,1.0,97.0,JTA064,23.844655889171186，120.5715991832338,,彰化縣田中鎮沙崙里新工六路77號
44.0,沙崙里,彰化縣田中鎮沙崙里新工五路64號,六暉企業,地下室,1.0,133.0,JTA065,23.847281080891914，120.57079414090485,,彰化縣田中鎮沙崙里新工五路64號
45.0,沙崙里,彰化縣田中鎮沙崙里新工五路8號,千順公司(原:達正橡膠公司),地下室,1.0,200.0,JTA066,23.846091492100467，120.57325486789217,,彰化縣田中鎮沙崙里新工五路8號
46.0,沙崙里,彰化縣田中鎮沙崙里新工五路36號,兆陽興業公司,地下室,1.0,120.0,JTA067,23.847040516764，120.57111195255042,,彰化縣田中鎮沙崙里新工五路36號
47.0,沙崙里,彰化縣田中鎮沙崙里中州路2段569號,大友碾米廠,地下室,1.0,100.0,JTA068,23.850264860460882，120.57198016789222,,彰化縣田中鎮沙崙里中州路2段569號
48.0,沙崙里,彰化縣田中鎮沙崙里新工四路80號,聯安冷凍公司,地下室,1.0,200.0,JTA070,23.84834542779426，120.57230606789221,,彰化縣田中鎮沙崙里新工四路80號
49.0,沙崙里,彰化縣田中鎮沙崙里中州路2段661號,民宅,地下室,1.0,84.0,JTA072,23.849187388348778，120.57066996789229,,彰化縣田中鎮沙崙里中州路2段661號
50.0,沙崙里,彰化縣田中鎮沙崙里新工四路56號,天魁有限公司,地下室,1.0,84.0,JTA073,23.848245568970253，120.57272671206935,,彰化縣田中鎮沙崙里新工四路56號
51.0,沙崙里,彰化縣田中鎮沙崙里興酪路1段430號,瑞新紙業,地下室,1.0,133.0,JTA074,23.848591989070353，120.57406721206928,,彰化縣田中鎮沙崙里興酪路1段430號
52.0,沙崙里,彰化縣田中鎮沙崙里興酪路1段88號,三阪與業公司,地下室,1.0,84.0,JTA075,23.848533112396836，120.57399211022124,,彰化縣田中鎮沙崙里興酪路1段88號
53.0,沙崙里,彰化縣田中鎮沙崙里新工二路18號,天寶塑膠公司,地下室,1.0,226.0,JTA076,23.84889643764521，120.57314768138589,,彰化縣田中鎮沙崙里新工二路18號
54.0,沙崙里,彰化縣田中鎮沙崙里新工一路47號,源誠汽車修理廠,地下室,1.0,48.0,JTA077,23.8500822492404，120.57275798138576,,彰化縣田中鎮沙崙里新工一路47號
55.0,沙崙里,彰化縣田中鎮沙崙里新工三路123號,達豫實業公司(前美式傢俱),地下室,1.0,667.0,JTA071,23.847929674354546，120.57081786789225,,彰化縣田中鎮沙崙里新工三路123號
56.0,沙崙里,彰化縣田中鎮沙崙里新工一路35號,豐詳壓鑄公司,地下室,1.0,44.0,JTA086,23.850498960354443，120.57268226789225,,彰化縣田中鎮沙崙里新工一路35號
57.0,沙崙里,彰化縣田中鎮沙崙里興酪路1段322號,田沙針織公司,地下室,1.0,49.0,JTA089,23.848631240171162，120.5740993985756,,彰化縣田中鎮沙崙里興酪路1段322號
58.0,沙崙里,彰化縣田中鎮沙崙里新工三路39號,東肯企業,地下室,1.0,120.0,JTA090,23.849762947996965，120.57243196789224,,彰化縣田中鎮沙崙里新工三路39號
59.0,沙崙里,彰化縣田中鎮沙崙里新工四路51號,育肯工業公司,地下室,1.0,93.0,JTA091,23.84770216443819，120.57284631022135,,彰化縣田中鎮沙崙里新工四路51號
60.0,沙崙里,彰化縣田中鎮沙崙里酪農路76號,大耀通商公司(原:普健股份公司),地下室,1.0,80.0,JTA092,23.843957242134678，120.57218189672753,,彰化縣田中鎮沙崙里酪農路76號
61.0,沙崙里,彰化縣田中鎮沙崙里新工六路46號,皇益紡織(原和泰塑膠公司),地下室,1.0,146.0,JTA094,23.845701992572373，120.57181506789216,,彰化縣田中鎮沙崙里新工六路46號
62.0,沙崙里,彰化縣田中鎮沙崙里新工二路80號,鴻旺公司,地下室,1.0,80.0,JTA069,23.847617274520196，120.57305086789222,,彰化縣田中鎮沙崙里新工二路80號
63.0,沙崙里,彰化縣田中鎮沙崙里中州路2段269號,偉新機器公司,地下室,1.0,133.0,JTA096,23.854718632352025，120.57615745439857,,彰化縣田中鎮沙崙里中州路2段269號
64.0,沙崙里,彰化縣田中鎮沙崙里新工六路90號,舜堡(原永能精機),地下室,1.0,160.0,JTA097,23.845009445656626，120.57126988138576,,彰化縣田中鎮沙崙里新工六路90號
65.0,沙崙里,彰化縣田中鎮沙崙里新工四路59號,伊諾華國際(原:川石照明工業),地下室,1.0,80.0,JTA098,23.847777200124032，120.57271296789217,,彰化縣田中鎮沙崙里新工四路59號
66.0,沙崙里,彰化縣田中鎮沙崙里酪農路50號,瑋新紙器公司,地下室,1.0,66.0,JTA099,23.843520889859143，120.5725640967275,,彰化縣田中鎮沙崙里酪農路50號
67.0,沙崙里,彰化縣田中鎮沙崙里酪農路180號,英特柏嵐公司(原:鴻旺工業二廠),地下室,1.0,80.0,JTA100,23.845237988818408，120.57084366789213,,彰化縣田中鎮沙崙里酪農路180號
68.0,沙崙里,彰化縣田中鎮沙崙里中州路2段573號,浩証公司,地下室,1.0,53.0,JTA105,23.85025483641033，120.57190193905681,,彰化縣田中鎮沙崙里中州路2段573號
69.0,沙崙里,彰化縣田中鎮沙崙里興酪路1段94號,泰德軾公司(原:勵多企業公司),地下室,1.0,56.0,JTA108,23.85203380958007，120.57437426789227,,彰化縣田中鎮沙崙里興酪路1段94號
70.0,沙崙里,彰化縣田中鎮沙崙里酪農路78號,歐蒂龍企業公司,地下室,1.0,120.0,JTA112,23.844240928762172，120.57179836789213,,彰化縣田中鎮沙崙里酪農路78號
71.0,沙崙里,彰化縣田中鎮沙崙里新工三路75號,永貴實業公司(原常盛機械),地下室,1.0,66.0,JTA114,23.848172899854188，120.57075392556297,,彰化縣田中鎮沙崙里新工三路75號
72.0,沙崙里,彰化縣田中鎮沙崙里新工一路36號,巧良實業(原奇見織造),地下室,1.0,80.0,JTA115,23.850620822419675，120.57299643905681,,彰化縣田中鎮沙崙里新工一路36號
73.0,沙崙里,彰化縣田中鎮沙崙里新工四路36號,富竹實業公司,地下室,1.0,73.0,JTA117,23.847939312846645，120.57300523905678,,彰化縣田中鎮沙崙里新工四路36號
74.0,沙崙里,彰化縣田中鎮沙崙里興酪路1段500號,兆陽公司(原:聖昊國際公司),地下室,1.0,124.0,JTA118,23.84408282889392，120.57337551022125,,彰化縣田中鎮沙崙里興酪路1段500號
75.0,沙崙里,彰化縣田中鎮沙崙里興酪路1段260號,正順紡織公司,地下室,1.0,153.0,JTA122,23.84751049176265，120.57330794571567,,彰化縣田中鎮沙崙里興酪路1段260號
76.0,三民里,彰化縣田中鎮三民里拓農路147號,舜大食品公司,地下室,1.0,300.0,JTA080,23.86825811840336，120.5549161255635,,彰化縣田中鎮三民里拓農路147號
77.0,三民里,彰化縣田中鎮三民里斗中路2段427號,合正機械公司,地下室,1.0,60.0,JTA111,23.867169698272644，120.5653444255634,,彰化縣田中鎮三民里斗中路2段427號
78.0,西路里,彰化縣田中鎮西路里斗中路1段198號,田中鎮公所,地下室,1.0,108.0,JTA006,23.861551767126713，120.58094776789238,,彰化縣田中鎮西路里斗中路1段198號
79.0,西路里,彰化縣田中鎮西路里建國路63巷18弄16號,天仁建設,地下室,1.0,100.0,JTA123,23.862938478086562，120.58114189672794,,彰化縣田中鎮西路里建國路63巷18弄16號
80.0,西路里,彰化縣田中鎮西路里建國路63巷32號,百祐建設公司,地下室,1.0,100.0,JTA124,23.86321091295111，120.58083652556341,,彰化縣田中鎮西路里建國路63巷32號
81.0,西路里,彰化縣田中鎮西路里明慶街158號,田中地政事務所,地下室,1.0,167.0,JTA031,23.86372023580637，120.58310669672801,,彰化縣田中鎮西路里明慶街158號
82.0,碧峰里,彰化縣田中鎮碧峰里中南路2段421號,彰化榮家1,地下室,1.0,308.0,JTA033,23.85136798510262，120.60772945439861,,彰化縣田中鎮碧峰里中南路2段421號
83.0,碧峰里,彰化縣田中鎮碧峰里中南路2段421號,彰化榮家2,地下室,1.0,320.0,JTA035,23.85136798510262，120.60772945439861,,彰化縣田中鎮碧峰里中南路2段421號
84.0,中潭里,彰化縣田中鎮中潭里員集路3段125巷54號,聖心修女會,地下室,1.0,492.0,JTA032,23.86807119758917，120.58633032556347,,彰化縣田中鎮中潭里員集路3段125巷54號
85.0,中潭里,彰化縣田中鎮中潭里員集路3段125巷34號,聖心堂,地下室,1.0,840.0,JTA134,23.868468453690657，120.58656936789252,,彰化縣田中鎮中潭里員集路3段125巷34號
86.0,頂潭里,彰化縣田中鎮頂潭里員集路3段465號,維力公司,地下室,1.0,456.0,JTA131,23.875104538386225，120.58715962556357,,彰化縣田中鎮頂潭里員集路3段465號
87.0,新庄里,彰化縣田中鎮新庄里中南路3段289巷40號,新生活社區,地下室,1.0,1377.0,JTA121,23.854171931777753，120.59510752556321,,彰化縣田中鎮新庄里中南路3段289巷40號
88.0,社頭村,彰化縣社頭鄉社頭村員集路2段678號,福助針織公司,地下室,1.0,81.0,JTA024,23.906078451899113，120.58318345439967,,彰化縣社頭鄉社頭村員集路2段678號
89.0,仁雅村,彰化縣社頭鄉仁雅村員集路2段26號,大樓,地下室,1.0,269.0,JTA119,23.895449795288112，120.58850665439944,,彰化縣社頭鄉仁雅村員集路2段26號
90.0,仁雅村,彰化縣社頭鄉仁雅村中山路1段306號,啟智特殊教育學校,地下室,1.0,1900.0,JTA126,23.892805388261287，120.58430045439943,,彰化縣社頭鄉仁雅村中山路1段306號
91.0,仁雅村,彰化縣社頭鄉仁雅村中山路1段289號,泓海實業公司,地下室,1.0,156.0,JTA104,23.941472947596747，120.56141153905868,,彰化縣社頭鄉仁雅村中山路1段289號
92.0,仁雅村,彰化縣社頭鄉仁雅村社斗路1段827號,昇田食品公司,地下室,1.0,199.0,JTA113,23.89678492147587，120.58497896789326,,彰化縣社頭鄉仁雅村社斗路1段827號
93.0,橋頭村,彰化縣社頭鄉橋頭村員集路3段750號,社頭果菜市場,地下室,1.0,283.0,JTA044,23.923100898643533，120.58213999672914,,彰化縣社頭鄉橋頭村員集路3段750號
94.0,廣興村,彰化縣社頭鄉廣興村中山路1段457巷26號,謹鳴企業公司,地下室,1.0,203.0,JTA083,23.89477364948319，120.58228199672853,,彰化縣社頭鄉廣興村中山路1段457巷26號
95.0,松竹村,彰化縣社頭鄉松竹村社石路956號,舊社國小1,地下室,1.0,671.0,JTA140,23.900817946270692，120.59239766789325,,彰化縣社頭鄉松竹村社石路956號
96.0,松竹村,彰化縣社頭鄉松竹村社石路956號,舊社國小2,地下室,1.0,853.0,JTA130,23.900817946270692，120.59239766789325,,彰化縣社頭鄉松竹村社石路956號
97.0,新厝村,彰化縣社頭鄉新厝村永興路30號之35,峰暉塑膠公司,地下室,1.0,30.0,JTA025,23.918942458981043，120.58088286789356,,彰化縣社頭鄉新厝村永興路30號之35
98.0,龍井村,彰化縣社頭鄉龍井村水井巷25-1號,金華隆五金工業公司,地下室,1.0,70.0,JTA029,23.920766628353274，120.60057539672911,,彰化縣社頭鄉龍井村水井巷25-1號
99.0,聖化村,彰化縣二水鄉聖化村員集路3段678號,二水鄉農會,地下室,1.0,319.0,JTA129,23.81004435107169，120.61595813469998,,彰化縣二水鄉聖化村員集路3段678號
100.0,聖化村,彰化縣二水鄉聖化村溪邊巷72號,二水鄉圖書館,地下室,1.0,912.0,JTA135,23.810135045193032，120.61674042795316,,彰化縣二水鄉聖化村溪邊巷72號
101.0,文化村,彰化縣二水鄉文化村光文路119號,二水國民小學活動中心1,地下室,1.0,1740.0,JTA030,23.81108487980301，120.61703103230924,,彰化縣二水鄉文化村光文路119號
102.0,文化村,彰化縣二水鄉文化村光文路119號,二水國民小學活動中心2,地下室,1.0,965.0,JTA138,23.81108487980301，120.61703103230924,,彰化縣二水鄉文化村光文路119號
103.0,裕民村,彰化縣二水鄉裕民村南通路2段764號,二水鄉公所,地下室,1.0,80.0,JTA004,23.80681337155787，120.61904465439773,,彰化縣二水鄉裕民村南通路2段764號
104.0,裕民村,彰化縣二水鄉裕民村員集路3段295號,二水示範公墓,地下室,1.0,200.0,JTA042,23.808815489846175，120.62112371022052,,彰化縣二水鄉裕民村員集路3段295號
105.0,裕民村,彰化縣二水鄉裕民村南通路2段530號,錦懋興業公司,地下室,1.0,144.0,JTA039,23.80397015926229，120.62339486789129,,彰化縣二水鄉裕民村南通路2段530號
