編號,地址,避難所在之地下樓層數,可容納人數,轄區分局,經度,緯度,里別
135.0,臺中市大甲區大甲里8鄰蔣公路73號,1.0,6.0,大甲分局,120.624171,24.345168,大甲里
136.0,臺中市大甲區大甲里10鄰鎮政路20號,1.0,22.0,大甲分局,120.624967,24.344559,大甲里
137.0,臺中市大甲區岷山里2鄰中山路一段906號,1.0,118.0,大甲分局,120.627915,24.349162,岷山里
138.0,臺中市大甲區大甲里8鄰蔣公路57號,1.0,33.0,大甲分局,120.624778,24.344939,大甲里
139.0,臺中市大甲區朝陽里7鄰鎮政路48號,1.0,16.0,大甲分局,120.625673,24.346387,朝陽里
140.0,臺中市大甲區薰風里8鄰水源路2號,1.0,22.0,大甲分局,120.622507,24.342666,薰風里
141.0,臺中市大甲區武曲里3鄰大安港路208號,1.0,556.0,大甲分局,120.612952,24.353115,武曲里
142.0,臺中市大甲區武曲里3鄰大安港路208號,1.0,223.0,大甲分局,120.613188,24.353511,武曲里
143.0,臺中市大甲區武曲里2鄰橫圳街127號,1.0,146.0,大甲分局,120.615992,24.354706,武曲里
144.0,臺中市大甲區朝陽里2鄰新政路1號,1.0,101.0,大甲分局,120.627129,24.347627,朝陽里
145.0,臺中市大甲區武曲里11鄰橫圳街69號,1.0,287.0,大甲分局,120.616238,24.353204,武曲里
146.0,臺中市大甲區南陽里11鄰中山路一段720號,1.0,134.0,大甲分局,120.621028,24.341911,南陽里
147.0,臺中市大甲區庄美里13鄰大安港路139號,1.0,55.0,大甲分局,120.614438,24.351227,庄美里
148.0,臺中市大甲區順天里12鄰順天路159號,1.0,78.0,大甲分局,120.622271,24.345063,順天里
149.0,臺中市大甲區頂店里6鄰中山路一段1136號,1.0,157.0,大甲分局,120.632782,24.355715,頂店里
150.0,臺中市大甲區順天里17鄰蔣公路217號,1.0,37.0,大甲分局,120.620209,24.346826,順天里
151.0,臺中市大甲區順天里17鄰五福街36號,1.0,55.0,大甲分局,120.619856,24.346665,順天里
152.0,臺中市大甲區順天里17鄰五福街40號,1.0,55.0,大甲分局,120.619889,24.346726,順天里
153.0,臺中市大甲區順天里17鄰五福街38號,1.0,77.0,大甲分局,120.619899,24.346697,順天里
154.0,臺中市大甲區庄美里6鄰興安路132號,1.0,77.0,大甲分局,120.611886,24.348489,庄美里
155.0,臺中市大甲區大甲里15鄰光明路62號,1.0,66.0,大甲分局,120.624122,24.344081,大甲里
156.0,臺中市大甲區文武里18鄰德興路61號,1.0,242.0,大甲分局,120.625479,24.349871,文武里
157.0,臺中市大甲區中山里8鄰水源路192號,1.0,37.0,大甲分局,120.626276,24.340038,中山里
158.0,臺中市大甲區中山里8鄰水源路190號,1.0,37.0,大甲分局,120.626088,24.339966,中山里
159.0,臺中市大甲區大甲里4鄰順天路158號,1.0,224.0,大甲分局,120.623013,24.345313,大甲里
160.0,臺中市大甲區南陽里11鄰中山路一段720號,1.0,1152.0,大甲分局,120.621755,24.341831,南陽里
161.0,臺中市大甲區南陽里11鄰中山路一段720號,1.0,805.0,大甲分局,120.621632,24.342054,南陽里
162.0,臺中市大甲區大甲里4鄰順天路146號,1.0,136.0,大甲分局,120.622441,24.344883,大甲里
163.0,臺中市大甲區中山里18鄰甲東路512號,1.0,2530.0,大甲分局,"120.630183 ","24.340994 ",中山里
164.0,臺中市大甲區中山里18鄰甲東路512號,1.0,456.0,大甲分局,"120.630183 ","24.340964 ",中山里
165.0,臺中市大甲區武曲里10鄰大安港路116巷10號,1.0,592.0,大甲分局,120.614749,24.352327,武曲里
166.0,臺中市大甲區新美里10鄰興安路84巷79號,1.0,350.0,大甲分局,120.614277,24.348628,新美里
167.0,臺中市大甲區朝陽里7鄰文武路2號,1.0,335.0,大甲分局,120.626934,24.345516,朝陽里
168.0,臺中市大甲區大甲里10鄰鎮政路14號,1.0,4716.0,大甲分局,120.624956,24.344492,大甲里
169.0,臺中市大甲區庄美里13鄰大安港路223號,1.0,242.0,大甲分局,120.611808,24.353477,庄美里
170.0,臺中市大甲區順天里10鄰武營路51號,1.0,72.0,大甲分局,120.621571,24.345654,順天里
171.0,臺中市大甲區順天里10鄰武營路49號,1.0,12.0,大甲分局,120.621572,24.345625,順天里
172.0,臺中市大甲區順天里10鄰武營路47號,1.0,12.0,大甲分局,120.621591,24.345607,順天里
173.0,臺中市大甲區庄美里6鄰興安路130號,1.0,12.0,大甲分局,120.612837,24.348473,庄美里
174.0,臺中市大甲區平安里9鄰民權路118號,1.0,852.0,大甲分局,120.620704,24.349578,平安里
175.0,臺中市大甲區中山里9鄰甲后路5段335巷30號,1.0,41.0,大甲分局,120.631837,24.345103,中山里
176.0,臺中市大甲區順天里15鄰三民路69號,1.0,36.0,大甲分局,120.621157,24.346884,順天里
177.0,臺中市大甲區順天里15鄰三民路73號,1.0,47.0,大甲分局,120.621183,24.346943,順天里
178.0,臺中市大甲區順天里15鄰三民路71號,1.0,47.0,大甲分局,120.621183,24.346945,順天里
179.0,臺中市大甲區順天里15鄰三民路75號,1.0,47.0,大甲分局,120.621264,24.347058,順天里
180.0,臺中市大甲區順天里15鄰三民路67號,1.0,47.0,大甲分局,120.621122,24.346831,順天里
181.0,臺中市大甲區孔門里2鄰順天路243號,1.0,47.0,大甲分局,120.624181,24.346769,孔門里
182.0,臺中市大甲區庄美里10鄰忠孝街38號,1.0,72.0,大甲分局,120.618156,24.348558,庄美里
183.0,臺中市大甲區庄美里10鄰忠孝街36號,1.0,68.0,大甲分局,120.618121,24.348397,庄美里
184.0,臺中市大甲區薰風里9鄰中山路一段823巷11號,1.0,68.0,大甲分局,120.621868,24.342728,薰風里
185.0,臺中市大甲區孔門里5鄰育德路113號,1.0,37.0,大甲分局,120.624298,24.348104,孔門里
186.0,臺中市大甲區孔門里5鄰育德路113號,1.0,3253.0,大甲分局,120.624087,24.348384,孔門里
187.0,臺中市大甲區朝陽里9鄰順天路232號,1.0,3540.0,大甲分局,120.624693,24.347153,朝陽里
188.0,臺中市大甲區義和里12鄰中山路一段713號,1.0,16.0,大甲分局,120.618739,24.339781,義和里
189.0,臺中市大甲區義和里12鄰中山路一段719號,1.0,38.0,大甲分局,120.618788,24.339833,義和里
190.0,臺中市大甲區中山里12鄰甲東路531巷59號,1.0,51.0,大甲分局,120.627841,24.339729,中山里
191.0,臺中市大甲區義和里5鄰中山路一段625號,1.0,25.0,大甲分局,120.617341,24.337781,義和里
192.0,臺中市大甲區大甲里12鄰蔣公路60號,2.0,300.0,大甲分局,120.624585,24.345171,大甲里
193.0,臺中市大甲區武曲里3鄰大安港路208號,1.0,37.0,大甲分局,120.612614,24.353207,武曲里
194.0,臺中市大甲區順天里6鄰蔣公路195號,1.0,251.0,大甲分局,120.620523,24.346712,順天里
195.0,臺中市大甲區頂店里6鄰中山路一段1142號,1.0,17.0,大甲分局,120.632881,24.355778,頂店里
196.0,臺中市大甲區順天里17鄰蔣公路193號,1.0,47.0,大甲分局,120.620502,24.346714,順天里
197.0,臺中市大甲區順天里15鄰蔣公路194號,1.0,76.0,大甲分局,120.620831,24.346748,順天里
198.0,臺中市大甲區順天里15鄰蔣公路196號,1.0,50.0,大甲分局,120.620783,24.346761,順天里
199.0,臺中市大甲區朝陽里7鄰文武路26號,1.0,50.0,大甲分局,120.625733,24.345886,朝陽里
200.0,臺中市大甲區順天里8鄰復興路22號,1.0,95.0,大甲分局,120.6214297,24.34617707,順天里
201.0,臺中市大甲區頂店里6鄰中山路一段1212號,1.0,28.0,大甲分局,120.6347052,24.35704646,頂店里
202.0,臺中市大甲區頂店里6鄰中山路一段1208號,1.0,62.0,大甲分局,120.6345053,24.35693133,頂店里
203.0,臺中市大甲區朝陽里7鄰文武路26號,3.0,55.0,大甲分局,120.6257349,24.3461098,朝陽里
204.0,臺中市大甲區文武里8鄰育英路186號,3.0,173.0,大甲分局,120.6224447,24.35366579,文武里
205.0,臺中市大甲區薰風里12鄰光明路45號,1.0,295.0,大甲分局,120.6240927,24.34401268,薰風里
206.0,臺中市大甲區順天里16鄰信義路56號,3.0,33.0,大甲分局,120.619621,24.34769634,順天里
207.0,臺中市大甲區平安里3鄰信義路138號,3.0,76.0,大甲分局,120.6202636,24.3493316,平安里
208.0,臺中市大甲區義和里5鄰中山路一段609巷10號,3.0,25.0,大甲分局,120.6165765,24.33818181,義和里
209.0,臺中市大甲區朝陽里7鄰文武路18號,2.0,81.0,大甲分局,120.6260759,24.34664694,朝陽里
210.0,臺中市大甲區義和里12鄰中山路一段745號,3.0,196.0,大甲分局,120.6192095,24.34075303,義和里
211.0,臺中市大甲區文武里1鄰雁門路236號,2.0,251.0,大甲分局,120.6253436,24.35267189,文武里
212.0,臺中市大甲區庄美里2鄰蔣公路295號,2.0,53.0,大甲分局,120.6176066,24.34795217,庄美里
213.0,臺中市大甲區順天里順天路3鄰育德路59號,1.0,1002.0,大甲分局,120.6233481,24.34693575,順天里
214.0,臺中市大甲區新美里15鄰興安路121號,1.0,222.0,大甲分局,120.6124918,24.35092361,新美里
215.0,臺中市大甲區頂店里3鄰開元路71號,1.0,95.0,大甲分局,120.639988,24.34700034,頂店里
216.0,臺中市大甲區大甲里4鄰順天路158號,1.0,3112.0,大甲分局,120.6235729,24.34536832,大甲里
217.0,臺中市大甲區南陽里11鄰中山路一段720號,2.0,2375.0,大甲分局,120.6217445,24.34220595,南陽里
218.0,臺中市大甲區中山里18鄰甲東路512號,2.0,2101.0,大甲分局,120.6300219,24.34102796,中山里
219.0,臺中市大甲區文武里6鄰新政路78號,3.0,1562.0,大甲分局,120.6248659,24.34948624,文武里
220.0,臺中市大甲區順天里19鄰中華街122號,4.0,303.0,大甲分局,120.6202908,24.34612642,順天里
221.0,臺中市大甲區大甲里9鄰鎮政路41號,4.0,377.0,大甲分局,120.6251625,24.34602717,大甲里
222.0,臺中市大甲區庄美里15鄰興安路138之212號,4.0,377.0,大甲分局,120.633002,24.35062282,庄美里
223.0,臺中市大甲區庄美里15鄰興安路138之213號,2.0,163.0,大甲分局,120.611965,24.35065214,庄美里
224.0,臺中市大甲區武陵里9鄰文曲路61號,3.0,170.0,大甲分局,120.6008631,24.3363966,武陵里
225.0,臺中市大甲區岷山里12鄰中山路一段880號,1.0,842.0,大甲分局,120.6277493,24.34837692,岷山里
226.0,臺中市大甲區文武里17鄰五福街256號,1.0,33.0,大甲分局,120.6219335,24.35185524,文武里
227.0,臺中市大甲區大甲里7鄰鎮瀾街180號,3.0,153.0,大甲分局,120.6243685,24.34602975,大甲里
228.0,臺中市大甲區庄美里10鄰忠孝街36號,3.0,180.0,大甲分局,120.6181608,24.34869967,庄美里
229.0,臺中市大甲區中山里18鄰甲東路512號,1.0,180.0,大甲分局,120.6300863,24.34101818,中山里
230.0,臺中市大甲區新美里18鄰興安路7之3號,3.0,2103.0,大甲分局,120.6151666,24.3484275,新美里
231.0,臺中市大甲區中山里18鄰甲東路512號,3.0,379.0,大甲分局,120.6300863,24.34101818,中山里
232.0,臺中市大甲區新美里18鄰永順街115號,3.0,4495.0,大甲分局,120.6195706,24.34466722,新美里
233.0,臺中市大甲區文武里8鄰育英路186號,3.0,1251.0,大甲分局,120.6224277,24.35351378,文武里
234.0,臺中市大甲區頂店里錦上街178號,3.0,1276.0,大甲分局,120.626708,24.35480651,頂店里
235.0,臺中市大甲區大甲里4鄰順天路146號,2.0,1640.0,大甲分局,120.6224918,24.3450421,大甲里
236.0,臺中市大甲區中山里11鄰甲東路598號,3.0,2286.0,大甲分局,120.6273683,24.34050593,中山里
237.0,臺中市大甲區江南里8鄰南北一路100號,3.0,516.0,大甲分局,120.6362833,24.36547029,江南里
238.0,臺中市大甲區奉化里11鄰經國路789號,2.0,933.0,大甲分局,120.619583,24.35622206,奉化里
239.0,臺中市大甲區義和里5鄰重義二路8號,2.0,2272.0,大甲分局,120.615188,24.33625126,義和里
240.0,臺中市大甲區頂店里7鄰大發路127號,1.0,894.0,大甲分局,120.6306725,24.35226724,頂店里
241.0,臺中市大甲區文武里26鄰仁愛街211號,3.0,739.0,大甲分局,120.6206608,24.35251781,文武里
242.0,臺中市大甲區義和里14鄰義和二街120巷79號,3.0,492.0,大甲分局,120.6213323,24.33660161,義和里
243.0,臺中市大甲區順天里1鄰雁門路21號,2.0,604.0,大甲分局,120.6225771,24.34681537,順天里
244.0,臺中市大甲區武曲里5鄰橫圳街265之2號,3.0,200.0,大甲分局,120.6129683,24.35785023,武曲里
245.0,臺中市大甲區庄美里12鄰經國路375巷120號,3.0,558.0,大甲分局,120.6156498,24.34858719,庄美里
246.0,臺中市大甲區庄美里5鄰興安路72之6號,3.0,971.0,大甲分局,120.614217,24.34838464,庄美里
247.0,臺中市大甲區頂店里8鄰東西七路一段65號,3.0,453.0,大甲分局,120.6373985,24.36804305,頂店里
248.0,臺中市大甲區中山里9鄰甲后路五段381號,1.0,448.0,大甲分局,120.6317232,24.34616072,中山里
249.0,臺中市大甲區義和里5鄰義和三街81號,1.0,1528.0,大甲分局,120.6176813,24.33568368,義和里
250.0,臺中市大甲區頂店里17鄰大智街205巷1號,3.0,494.0,大甲分局,120.6271604,24.3556403,頂店里
251.0,臺中市大甲區頂店里錦上街180巷11號,1.0,1071.0,大甲分局,120.6266717,24.35475309,頂店里
252.0,臺中市大甲區德化里2鄰和平路290號,3.0,359.0,大甲分局,120.6246009,24.36268417,德化里
253.0,臺中市大甲區孔門里6鄰民權路52號,2.0,347.0,大甲分局,120.6223754,24.34980739,孔門里
254.0,臺中市大甲區武陵里文曲路175號,2.0,1857.0,大甲分局,120.6036537,24.33786281,武陵里
255.0,臺中市大甲區文武里德興路203號,3.0,31539.0,大甲分局,120.6197128,24.35203602,文武里
256.0,臺中市大甲區中山里10鄰甲東路520號,1.0,959.0,大甲分局,120.6294863,24.34076356,中山里
257.0,臺中市大甲區孟春里經國路321號,1.0,189.0,大甲分局,120.6165687,24.34686122,孟春里
258.0,臺中市大甲區平安里八德街2號,1.0,1851.0,大甲分局,120.618346,24.35103239,平安里
259.0,臺中市外埔區水美里二崁路588巷18號,1.0,1274.0,大甲分局,120.6312143,24.32682158,水美里
260.0,臺中市大甲區文武里20鄰育德路233號,1.0,654.0,大甲分局,120.6264491,24.35219551,文武里
261.0,臺中市大甲區幸福里東明路93號,2.0,386.0,大甲分局,120.6798837,24.37485436,水美里
262.0,臺中市大甲區孟春里經國路1838巷12號,1.0,246.0,大甲分局,120.6507148,24.37940433,孟春里
