序號,縣市,分區,"Google Maps URL","KML URL","KML 檔案",狀態
1,"臺北市 Taipei City","北投區、士林區、中山區、大同區 Beitou District、Shilin District、Zhongshan District、Datong District",https://www.google.com/maps/d/edit?mid=1ceQ5gitm3HnFVXVwhzroV7uLM_obkDdd&usp=sharing&z=18,https://www.google.com/maps/d/u/0/kml?mid=1ceQ5gitm3HnFVXVwhzroV7uLM_obkDdd&forcekml=1,"臺北市 Taipei City_北投區士林區中山區大同區 Beitou DistrictShilin DistrictZhongshan DistrictDatong District.kml",success
1,"臺北市 Taipei City","中正區、萬華區、大安區、信義區 Zhongzheng District、Wanhua District、Da’an District、Xinyi District",https://www.google.com/maps/d/edit?mid=1gi1uuzzCxL8pKev6TXvgJU9KdA2ZLpyJ&usp=sharing&z=18,https://www.google.com/maps/d/u/0/kml?mid=1gi1uuzzCxL8pKev6TXvgJU9KdA2ZLpyJ&forcekml=1,"臺北市 Taipei City_中正區萬華區大安區信義區 Zhongzheng DistrictWanhua DistrictDaan DistrictXinyi District.kml",success
1,"臺北市 Taipei City","內湖區、松山區、南港區、文山區 Neihu District、Songshan District、Nangang District、Wenshan District",https://www.google.com/maps/d/edit?mid=1bYwHYsY9FAcsWApuXcuAZtbJkzjJ-KLG&usp=sharing,https://www.google.com/maps/d/u/0/kml?mid=1bYwHYsY9FAcsWApuXcuAZtbJkzjJ-KLG&forcekml=1,"臺北市 Taipei City_內湖區松山區南港區文山區 Neihu DistrictSongshan DistrictNangang DistrictWenshan District.kml",success
2,"新北市 New Taipei City","全區 All Districts",https://www.google.com/maps/d/edit?mid=16mK1e8ahEkNDFDxLTc4HITkffnxYKUUx&usp=sharing,https://www.google.com/maps/d/u/0/kml?mid=16mK1e8ahEkNDFDxLTc4HITkffnxYKUUx&forcekml=1,"新北市 New Taipei City_全區 All Districts.kml",success
3,"桃園市 Taoyuan City","全區 All Districts",https://www.google.com/maps/d/viewer?mid=1-Eh3c24YHl0bzldblfIE1hfS84VdJ9S5&ll=24.965285745211222%2C121.21868299999998&z=11,https://www.google.com/maps/d/u/0/kml?mid=1-Eh3c24YHl0bzldblfIE1hfS84VdJ9S5&forcekml=1,"桃園市 Taoyuan City_全區 All Districts.kml",success
4,"臺中市 Taichung City","北區、西區、中區、東區、南區 North District、West District、Central District、East District、South District",https://www.google.com/maps/d/edit?mid=1QTlJW03o_dVuYCOWw3hGbCRIviCdAmyf&usp=sharing,https://www.google.com/maps/d/u/0/kml?mid=1QTlJW03o_dVuYCOWw3hGbCRIviCdAmyf&forcekml=1,"臺中市 Taichung City_北區西區中區東區南區 North DistrictWest DistrictCentral DistrictEast DistrictSouth District.kml",success
4,"臺中市 Taichung City","北屯區、西屯區、南屯區 Beitun District、Xitun District、Nantun District",https://www.google.com/maps/d/edit?mid=1gEs9Am-UxXbrpHPuf5em53NDoyXEC5vn&usp=sharing,https://www.google.com/maps/d/u/0/kml?mid=1gEs9Am-UxXbrpHPuf5em53NDoyXEC5vn&forcekml=1,"臺中市 Taichung City_北屯區西屯區南屯區 Beitun DistrictXitun DistrictNantun District.kml",success
4,"臺中市 Taichung City","其他地區 Other Districts",https://www.google.com/maps/d/edit?mid=131vXnT86fmix5AaRkYWx2o8SJCfkGDG1&usp=sharing,https://www.google.com/maps/d/u/0/kml?mid=131vXnT86fmix5AaRkYWx2o8SJCfkGDG1&forcekml=1,"臺中市 Taichung City_其他地區 Other Districts.kml",success
5,"臺南市 Tainan City","全區 All Districts",https://www.google.com/maps/d/edit?mid=1JFYLJ5I-lxVYuoTvdGMQpQty9DlMFkF0&usp=sharing,https://www.google.com/maps/d/u/0/kml?mid=1JFYLJ5I-lxVYuoTvdGMQpQty9DlMFkF0&forcekml=1,"臺南市 Tainan City_全區 All Districts.kml",success
6,"高雄市 Kaohsiung City","全區 All Districts",https://www.google.com/maps/d/edit?mid=1boVpdJLyQpgUP3hahPlQ5-DKjx0Rggk6&usp=sharing,https://www.google.com/maps/d/u/0/kml?mid=1boVpdJLyQpgUP3hahPlQ5-DKjx0Rggk6&forcekml=1,"高雄市 Kaohsiung City_全區 All Districts.kml",success
7,"基隆市 Keelung City","全區 All Districts",https://www.google.com/maps/d/edit?mid=1UBZKihGrmIc6d5Fk39N67UCD0tDJxnIK&usp=sharing,https://www.google.com/maps/d/u/0/kml?mid=1UBZKihGrmIc6d5Fk39N67UCD0tDJxnIK&forcekml=1,"基隆市 Keelung City_全區 All Districts.kml",success
8,"新竹市 Hsinchu City","全區 All Districts",https://www.google.com/maps/d/edit?mid=1HV8blx0bWor4XnsAGT8CuPbg_XW_uW9e&usp=sharing,https://www.google.com/maps/d/u/0/kml?mid=1HV8blx0bWor4XnsAGT8CuPbg_XW_uW9e&forcekml=1,"新竹市 Hsinchu City_全區 All Districts.kml",success
9,"新竹縣 Hsinchu County","全區 All Districts",https://www.google.com/maps/d/edit?mid=1HjMrb9AjviPBMwrZVNJO3el7FK1alzlM&usp=sharing,https://www.google.com/maps/d/u/0/kml?mid=1HjMrb9AjviPBMwrZVNJO3el7FK1alzlM&forcekml=1,"新竹縣 Hsinchu County_全區 All Districts.kml",success
10,"苗栗縣 Miaoli County","全區 All Districts",https://www.google.com/maps/d/edit?mid=1MIID8ChqxXMvAUs1gcjvKrHvsvtqyQ57&usp=sharing,https://www.google.com/maps/d/u/0/kml?mid=1MIID8ChqxXMvAUs1gcjvKrHvsvtqyQ57&forcekml=1,"苗栗縣 Miaoli County_全區 All Districts.kml",success
11,"彰化縣 Changhua County","全區 All Districts",https://www.google.com/maps/d/edit?mid=1VErNDQOseUEKSc3GFFu36CWqSApHG3j1&usp=sharing,https://www.google.com/maps/d/u/0/kml?mid=1VErNDQOseUEKSc3GFFu36CWqSApHG3j1&forcekml=1,"彰化縣 Changhua County_全區 All Districts.kml",success
12,"南投縣 Nantou County","全區 All Districts",https://www.google.com/maps/d/edit?mid=1JMWloPTpaMX2fs5EmciBDaLZukOArew9&usp=sharing,https://www.google.com/maps/d/u/0/kml?mid=1JMWloPTpaMX2fs5EmciBDaLZukOArew9&forcekml=1,"南投縣 Nantou County_全區 All Districts.kml",success
13,"雲林縣 Yunlin County","全區 All Districts",https://www.google.com/maps/d/edit?mid=1SIgHI8kphgfnT08jn6iW5RD4CnZJpQqi&usp=sharing,https://www.google.com/maps/d/u/0/kml?mid=1SIgHI8kphgfnT08jn6iW5RD4CnZJpQqi&forcekml=1,"雲林縣 Yunlin County_全區 All Districts.kml",success
14,"嘉義市 Chiayi City","全區 All Districts",https://www.google.com/maps/d/edit?mid=1AqUlu6v55_vTLPb1vCZgDFYJZ16GyvnC&usp=sharing,https://www.google.com/maps/d/u/0/kml?mid=1AqUlu6v55_vTLPb1vCZgDFYJZ16GyvnC&forcekml=1,"嘉義市 Chiayi City_全區 All Districts.kml",success
15,"嘉義縣 Chiayi County","全區 All Districts",https://www.google.com/maps/d/edit?mid=1BU58Gx6dGkwxoVrRBTm79tCVLZ4v-XRB&usp=sharing,https://www.google.com/maps/d/u/0/kml?mid=1BU58Gx6dGkwxoVrRBTm79tCVLZ4v-XRB&forcekml=1,"嘉義縣 Chiayi County_全區 All Districts.kml",success
16,"屏東縣 Pingtung County","全區 All Districts",https://www.google.com/maps/d/edit?mid=1-bLjHz5DIqwBDdq9KVfcVRUFQWkfllaK&usp=sharing,https://www.google.com/maps/d/u/0/kml?mid=1-bLjHz5DIqwBDdq9KVfcVRUFQWkfllaK&forcekml=1,"屏東縣 Pingtung County_全區 All Districts.kml",success
17,"宜蘭縣 Yilan County","全區 All Districts",https://www.google.com/maps/d/edit?mid=1k05exCJAJ6xGleQ0x2D3DXpD2hUXNNs6&usp=sharing,https://www.google.com/maps/d/u/0/kml?mid=1k05exCJAJ6xGleQ0x2D3DXpD2hUXNNs6&forcekml=1,"宜蘭縣 Yilan County_全區 All Districts.kml",success
18,"花蓮縣 Hualien County","全區 All Districts",https://www.google.com/maps/d/edit?mid=1aSsZ3GiwxZxY0hldnQ4ihpaDPX6m-RKk&usp=sharing,https://www.google.com/maps/d/u/0/kml?mid=1aSsZ3GiwxZxY0hldnQ4ihpaDPX6m-RKk&forcekml=1,"花蓮縣 Hualien County_全區 All Districts.kml",success
19,"臺東縣 Taitung County","全區 All Districts",https://www.google.com/maps/d/edit?mid=1sR8xCePEEMCcjHZjFEYomUhFF0HMCm_O&usp=sharing,https://www.google.com/maps/d/u/0/kml?mid=1sR8xCePEEMCcjHZjFEYomUhFF0HMCm_O&forcekml=1,"臺東縣 Taitung County_全區 All Districts.kml",success
20,"澎湖縣 Penghu County","全區 All Districts",https://www.google.com/maps/d/edit?mid=12fE8l96VNLwrCcpmlzvdbwXc3Br3JDgB&usp=sharing,https://www.google.com/maps/d/u/0/kml?mid=12fE8l96VNLwrCcpmlzvdbwXc3Br3JDgB&forcekml=1,"澎湖縣 Penghu County_全區 All Districts.kml",success
21,"金門縣 Kinmen County","全區 All Districts",https://www.google.com/maps/d/edit?mid=1EXxSWBfhlxhzROwbbX97z-J5xqVdEsup&usp=sharing,https://www.google.com/maps/d/u/0/kml?mid=1EXxSWBfhlxhzROwbbX97z-J5xqVdEsup&forcekml=1,"金門縣 Kinmen County_全區 All Districts.kml",success
22,"連江縣 Lienchiang County","全區 All Districts",https://www.google.com/maps/d/edit?mid=1jTNr02Y4mgPVqp-6fEZ4DaY6nCwLbBfm&usp=sharing,https://www.google.com/maps/d/u/0/kml?mid=1jTNr02Y4mgPVqp-6fEZ4DaY6nCwLbBfm&forcekml=1,"連江縣 Lienchiang County_全區 All Districts.kml",success
